team,number,name,posX1,posY1,posX2,posY2,size,weight,birthday,position
KAC,42,Rok Tičar,23,22,30,28,180,79,05.03.1989,Forward
KAC,18,Thomas Koch,30,15,37,21,173,76,08.17.1983,Forward
KAC,98,Daniel Obersteiner,22,10,31,9,177,80,02.02.1998,Forward
KAC,14,Paul Postma,15,10,20,5,191,85,02.22.1989,Defender
KAC,24,Steven Strong,13,20,23,22,181,82,02.16.1993,Defender
KAC,32,Sebastian Dahm,5,15,6,15,179,82,02.28.1987,Goaltender
VSV,17,Scott Kosmachuk,31,14,36,11,180,84,01.24.1994,Forward
VSV,9,Rick Schofield,32,10,35,6,188,86,04.23.1987,Forward
VSV,72,John Hughes,34,21,38,23,180,75,01.06.1988,Forward
VSV,1,Andreas Bernard,56,15,56,15.5,185,91,01.09.1990,Goaltender
VSV,44,Jamie Fraser,40,10,44,13,185,89,11.17.1985,Defender
VSV,28,Derek Joslin,43,16,46,21,185,95,03.17.1987,Defender
Puck,,Puck,30,15,35,27,0.075,0.170,01.01.1877,Puck
